date,year,coach,opposition,tournament,test,h / a,sa irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
26/11/2022,2022,jn,england,tour,yes,a,4,5,1,,w,27,13,14,nche,mbonambi,malherbe,etzebeth,orie,kolisi,mostert,roos,de klerk,willemse,mapimpi,de allende,"kriel, je",arendse,le roux,marx,kitshoff,"du toit, t",van staden,smith,"hendrikse, ja",libbok,moodie
08/07/2023,2023,jn,australia,rc,yes,h,4,7,3,,w,43,12,31,kitshoff,mbonambi,malherbe,kleyn,orie,van staden,"du toit, p",vermeulen,reinach,libbok,arendse,esterhuizen,am,moodie,le roux,dweba,"du toit, t",koch,snyman,roos,fourie,"williams, g",willemse
15/07/2023,2023,jn,nz,rc,yes,a,4,3,-1,,l,20,35,-15,kitshoff,mbonambi,malherbe,etzebeth,de jager,smith,mostert,"wiese, j",de klerk,willemse,mapimpi,de allende,am,kolbe,le roux,marx,"du toit, t",koch,snyman,"du toit, p",vermeulen,"williams, g",libbok
29/07/2023,2023,jn,argentina,rc,yes,h,4,7,3,,w,22,21,1,kitshoff,marx,malherbe,etzebeth,orie,van staden,"du toit, p",vermeulen,"williams, g",libbok,arendse,de allende,"kriel, je",kolbe,le roux,mbonambi,nyakane,koch,smith,snyman,de klerk,am,willemse
05/08/2023,2023,jn,argentina,rc,yes,a,4,7,3,,w,24,13,11,nyakane,mbonambi,"du toit, t",kleyn,orie,fourie,mostert,"wiese, j",reinach,libbok,mapimpi,esterhuizen,am,moodie,willemse,dweba,steenekamp,koch,"du preez, j",roos,"jantjies, h","kriel, je",arendse
19/08/2023,2023,jn,wales,friendly,yes,a,4,10,6,,w,52,16,36,kitshoff,marx,malherbe,kleyn,snyman,kolisi,"du toit, p","wiese, j","hendrikse, ja",libbok,kolbe,de allende,"kriel, je",moodie,le roux,mbonambi,nche,koch,mostert,van staden,vermeulen,"williams, g",willemse
25/08/2023,2023,jn,nz,rc,yes,a,3,2,-1,,w,35,7,28,kitshoff,marx,malherbe,etzebeth,mostert,kolisi,"du toit, p",vermeulen,de klerk,libbok,mapimpi,esterhuizen,moodie,arendse,willemse,mbonambi,nche,nyakane,kleyn,snyman,van staden,reinach,
10/09/2023,2023,jn,scotland,wc,yes,n,2,5,3,,w,18,3,15,kitshoff,marx,malherbe,etzebeth,mostert,kolisi,"du toit, p","wiese, j",de klerk,libbok,kolbe,de allende,"kriel, je",arendse,willemse,mbonambi,nche,nyakane,snyman,van staden,vermeulen,"williams, g",le roux
17/09/2023,2023,jn,romania,wc,yes,n,2,19,17,,w,76,0,76,nche,mbonambi,,kleyn,orie,van staden,smith,vermeulen,reinach,willemse,mapimpi,esterhuizen,moodie,"williams, g",le roux,fourie,kitshoff,nyakane,snyman,"wiese, j","hendrikse, ja",de klerk,"kriel, je"
23/09/2023,2023,jn,ireland,wc,yes,n,2,1,-1,,l,8,13,-5,kitshoff,mbonambi,malherbe,etzebeth,mostert,kolisi,"du toit, p","wiese, j",de klerk,libbok,kolbe,de allende,"kriel, je",arendse,willemse,fourie,nche,nyakane,kleyn,snyman,van staden,smith,reinach
01/10/2023,2023,jn,tonga,wc,yes,n,3,15,12,,w,49,18,31,nche,fourie,koch,etzebeth,orie,kolisi,vermeulen,"wiese, j",reinach,pollard,mapimpi,esterhuizen,moodie,"williams, g",le roux,van staden,kitshoff,nyakane,mostert,smith,"hendrikse, ja",libbok,"kriel, je"
15/10/2023,2023,jn,france,wc,yes,n,3,2,-1,,w,29,28,1,kitshoff,mbonambi,malherbe,etzebeth,mostert,kolisi,"du toit, p",vermeulen,reinach,libbok,kolbe,de allende,"kriel, je",arendse,willemse,fourie,nche,koch,snyman,smith,de klerk,pollard,le roux
21/10/2023,2023,jn,england,wc,yes,n,1,5,4,,w,16,15,1,kitshoff,mbonambi,malherbe,etzebeth,mostert,kolisi,"du toit, p",vermeulen,reinach,libbok,kolbe,de allende,"kriel, je",arendse,willemse,fourie,nche,koch,snyman,smith,de klerk,pollard,le roux
28/10/2023,2023,jn,nz,wc,yes,n,1,2,1,,w,12,11,1,kitshoff,mbonambi,malherbe,etzebeth,mostert,kolisi,"du toit, p",vermeulen,de klerk,pollard,kolbe,de allende,"kriel, je",arendse,willemse,fourie,nche,nyakane,kleyn,snyman,smith,"wiese, j",le roux
22/06/2024,2024,re,wales,tour,yes,a,1,10,9,,w,41,13,28,nche,marx,koch,etzebeth,mostert,smith,"du toit, p",roos,de klerk,"hendrikse, jo",mapimpi,esterhuizen,"kriel, je","van der merwe, edwi",fassi,mbonambi,mchunu,malherbe,moerat,dixon,"williams, g",feinberg-mngomezulu,de allende
06/07/2024,2024,re,ireland,tour,yes,h,1,2,1,,w,27,20,7,nche,mbonambi,malherbe,etzebeth,mostert,kolisi,"du toit, p",smith,de klerk,pollard,arendse,de allende,"kriel, je",kolbe,le roux,marx,steenekamp,koch,moerat,snyman,van staden,"williams, g",feinberg-mngomezulu
13/07/2024,2024,re,ireland,tour,yes,h,1,2,1,,l,24,25,-1,nche,mbonambi,malherbe,etzebeth,mostert,kolisi,"du toit, p",smith,de klerk,pollard,arendse,de allende,"kriel, je",kolbe,le roux,marx,steenekamp,koch,moerat,snyman,van staden,"williams, g",feinberg-mngomezulu
20/07/2024,2024,re,portugal,tour,yes,h,1,15,14,,w,64,21,43,wessels,grobbelaar,"du toit, t",moerat,snyman,buthelezi,dixon,roos,reinach,libbok,mapimpi,esterhuizen,am,arendse,fassi,"venter, a",mchunu,nyakane,"venter, r","louw, e",van den berg,feinberg-mngomezulu,horn
10/08/2024,2024,re,australia,rc,yes,a,1,9,8,,w,33,7,26,nche,mbonambi,malherbe,etzebeth,"du toit, p",kolisi,dixon,"louw, e",reinach,feinberg-mngomezulu,arendse,de allende,"kriel, je",kolbe,le roux,marx,steenekamp,koch,moerat,van staden,smith,"williams, g",pollard
17/08/2024,2024,re,australia,rc,yes,a,1,9,8,,w,30,12,18,wessels,grobbelaar,"du toit, t",moerat,nortje,van staden,"du toit, p","louw, e",van den berg,feinberg-mngomezulu,mapimpi,am,"kriel, je",kolbe,fassi,marx,nche,koch,etzebeth,smith,"williams, g",libbok,pollard
31/08/2024,2024,re,nz,rc,yes,h,1,3,2,,w,31,27,4,nche,mbonambi,malherbe,"du toit, p",nortje,kolisi,dixon,"wiese, j",reinach,feinberg-mngomezulu,arendse,de allende,"kriel, je",kolbe,fassi,marx,steenekamp,koch,etzebeth,"louw, e",smith,"williams, g",pollard
07/09/2024,2024,re,nz,rc,yes,h,1,3,2,,w,18,12,6,nche,mbonambi,malherbe,etzebeth,nortje,kolisi,"du toit, p","wiese, j","williams, g",pollard,kolbe,de allende,"kriel, je",moodie,le roux,marx,steenekamp,koch,smith,"louw, e","hendrikse, ja",feinberg-mngomezulu,am
21/09/2024,2024,re,argentina,rc,yes,a,1,7,6,,l,28,29,-1,nche,marx,"du toit, t",moerat,nortje,van staden,dixon,"wiese, j",reinach,pollard,mapimpi,am,"kriel, je",arendse,fassi,wessels,steenekamp,koch,etzebeth,"louw, e",smith,"hendrikse, ja",libbok
28/09/2024,2024,re,argentina,rc,yes,h,2,6,4,,w,48,7,41,nche,mbonambi,malherbe,etzebeth,nortje,kolisi,"du toit, p","wiese, j","hendrikse, ja",libbok,arendse,de allende,"kriel, je",kolbe,fassi,marx,steenekamp,koch,"louw, e",smith,reinach,pollard,am
10/11/2024,2024,re,scotland,tour,yes,a,2,7,5,,w,32,15,17,nche,mbonambi,"du toit, t",etzebeth,mostert,van staden,"louw, e",smith,"hendrikse, ja",pollard,mapimpi,esterhuizen,am,moodie,le roux,marx,steenekamp,koch,snyman,kolisi,"du toit, p","wiese, j","williams, g"
16/11/2024,2024,re,england,tour,yes,a,1,7,6,,w,29,20,9,nche,mbonambi,"louw, w",etzebeth,snyman,kolisi,"du toit, p","wiese, j","williams, g",libbok,arendse,de allende,"kriel, je",kolbe,fassi,marx,steenekamp,koch,"louw, e",smith,reinach,pollard,am
23/11/2024,2024,re,wales,tour,yes,a,1,11,10,,w,45,12,33,"du toit, t",grobbelaar,"louw, w",etzebeth,mostert,kolisi,"louw, e","wiese, j","hendrikse, ja","hendrikse, jo",arendse,de allende,"kriel, je",kolbe,fassi,marx,steenekamp,koch,van staden,snyman,hanekom,reinach,pollard
05/07/2025,2025,re,italy,tour,yes,h,1,10,9,,w,42,24,18,nche,marx,"louw, w",etzebeth,de jager,van staden,tshituka,"wiese, j",van den berg,pollard,arendse,de allende,"kriel, je",kolbe,willemse,mbonambi,wessels,koch,snyman,mostert,smith,de klerk,le roux
12/07/2025,2025,re,italy,tour,yes,h,1,10,9,,w,45,0,45,"du toit, t",marx,"louw, w",moerat,nortje,van staden,"du toit, p","wiese, j","williams, g",libbok,mapimpi,esterhuizen,moodie,"van der merwe, edwi",le roux,wessels,nche,ntlabakanye,"wiese, c",roos,reinach,feinberg-mngomezulu,hooker
19/07/2025,2025,re,georgia,tour,yes,h,1,11,10,,w,55,10,45,"venter, b","van der merwe, marn",fouche,etzebeth,nortje,kolisi,"du toit, p","wiese, c","williams, g",feinberg-mngomezulu,arendse,de allende,moodie,"van der merwe, edwi",fassi,mbonambi,"du toit, t",koch,snyman,smith,de klerk,pollard,willemse
16/08/2025,2025,re,australia,rc,yes,h,1,6,5,,l,27,38,-11,nche,marx,"louw, w",etzebeth,de jager,van staden,"du toit, p",kolisi,"williams, g",libbok,arendse,esterhuizen,"kriel, je","van der merwe, edwi",fassi,mbonambi,"venter, b",ntlabakanye,mostert,smith,reinach,moodie,willemse
23/08/2025,2025,re,australia,rc,yes,h,3,6,3,,w,30,22,8,nche,marx,"du toit, t",snyman,nortje,van staden,mostert,smith,"williams, g",pollard,kolbe,de allende,"kriel, je",moodie,fassi,"van der merwe, marn","venter, b","louw, w",etzebeth,de jager,esterhuizen,reinach,feinberg-mngomezulu
06/09/2025,2025,re,nz,rc,yes,a,2,1,-1,,l,17,24,-7,nche,marx,"du toit, t",etzebeth,nortje,van staden,"du toit, p",kolisi,"williams, g",pollard,moodie,de allende,"kriel, je",kolbe,le roux,wessels,"venter, b","louw, w",de jager,smith,reinach,feinberg-mngomezulu,hooker
13/09/2025,2025,re,nz,rc,yes,a,3,1,-2,,w,43,10,33,nche,marx,"du toit, t",de jager,nortje,kolisi,"du toit, p","wiese, j",reinach,feinberg-mngomezulu,hooker,willemse,moodie,kolbe,fassi,"van der merwe, marn",wessels,"louw, w",snyman,smith,"williams, g",libbok,esterhuizen
27/09/2025,2025,re,argentina,rc,yes,h,1,6,5,,w,67,30,37,"venter, b",marx,"du toit, t",etzebeth,nortje,kolisi,"du toit, p","wiese, j",reinach,feinberg-mngomezulu,hooker,de allende,moodie,kolbe,willemse,van staden,wessels,"louw, w",snyman,smith,van den berg,libbok,esterhuizen
04/10/2025,2025,re,argentina,rc,yes,a,1,6,5,,w,29,27,2,nche,marx,"du toit, t",etzebeth,nortje,kolisi,"du toit, p","wiese, j",reinach,feinberg-mngomezulu,hooker,de allende,moodie,kolbe,willemse,mbonambi,wessels,"louw, w",snyman,smith,"williams, g",libbok,"kriel, je"
01/11/2025,2025,re,japan,tour,yes,a,1,13,12,,w,61,7,54,nche,marx,porthen,snyman,de jager,kolisi,mostert,"wiese, j",reinach,feinberg-mngomezulu,arendse,de allende,"kriel, je",hooker,kolbe,grobbelaar,steenekamp,"louw, w",nortje,esterhuizen,smith,"williams, g",libbok
08/11/2025,2025,re,france,tour,yes,a,1,5,4,,w,32,17,15,"venter, b",marx,"du toit, t",etzebeth,de jager,kolisi,"du toit, p","wiese, j",reinach,feinberg-mngomezulu,arendse,de allende,"kriel, je",kolbe,willemse,grobbelaar,steenekamp,"louw, w",snyman,nortje,esterhuizen,"williams, g",libbok
15/11/2025,2025,re,italy,tour,yes,a,1,10,9,,w,32,14,18,"venter, b",grobbelaar,porthen,kleyn,mostert,kolisi,dixon,van staden,van den berg,pollard,arendse,hooker,moodie,"van der merwe, edwi",willemse,steenekamp,"louw, w",snyman,nortje,esterhuizen,smith,"williams, g",libbok
22/11/2025,2025,re,ireland,tour,yes,a,1,4,3,,w,24,13,11,"venter, b",marx,"du toit, t",etzebeth,nortje,kolisi,"du toit, p","wiese, j",reinach,feinberg-mngomezulu,kolbe,de allende,"kriel, je",moodie,willemse,grobbelaar,steenekamp,"louw, w",snyman,esterhuizen,smith,"williams, g",libbok
29/11/2025,2025,re,wales,tour,yes,a,1,11,10,,w,73,0,73,steenekamp,grobbelaar,"louw, w",kleyn,nortje,kolisi,mostert,"wiese, j",van den berg,feinberg-mngomezulu,moodie,esterhuizen,de allende,hooker,willemse,mbonambi,porthen,ntlabakanye,etzebeth,van staden,dixon,smith,reinach
04/07/2026,2026,re,england,nc,yes,h,1,6,5,,w,45,21,24,nche,marx,"du toit, t",,nortje,"de villiers, p","du toit, p","wiese, j","williams, g",libbok,arendse,de allende,"kriel, je",kolbe,willemse,wessels,steenekamp,porthen,van staden,hanekom,reinach,esterhuizen,moodie
11/07/2026,2026,re,scotland,nc,yes,h,1,5,4,,w,42,28,14,"venter, b",grobbelaar,"louw, w","wiese, c",nortje,"de villiers, p","du toit, p",roos,papier,pollard,hooker,willemse,"kriel, je","van der merwe, edwi",fassi,wessels,mchunu,porthen,dixon,tshituka,"louw, e","williams, g",horn
18/07/2026,2026,re,wales,nc,yes,h,1,12,11,,w,43,0,43,steenekamp,marx,sadie,"wiese, c",van heerden,"de villiers, p","du toit, p","wiese, j",reinach,moyo,arendse,de allende,"kriel, je","williams, j",fassi,"venter, a",wessels,"louw, w",dixon,van staden,"jantjies, h",libbok,willemse
08/08/2026,2026,re,argentina,rc,yes,a,1,7,6,,w,17,10,7,"venter, b",grobbelaar,"du toit, t",etzebeth,de jager,kolisi,"louw, e",hanekom,reinach,feinberg-mngomezulu,hooker,esterhuizen,moodie,"van der merwe, edwi",fassi,wessels,steenekamp,porthen,dixon,"wiese, c",van staden,van den berg,pollard
